1	6	50	8	0	0.5961	1	1	1	2
2	32	22	40	50	0.7812	4	4	1	1
3	14	7	10	50	0.32873	2	3	2	1
4	32	50	40	50	0.48982	4	5	1	2
5	40	2	32	50	0.38654	4	2	2	1
6	26	2	20	50	0.21663	3	2	2	1
7	6	7	8	50	0.52956	1	3	1	1
8	20	50	26	2	0.36471	3	2	1	2
9	26	50	20	50	0.50399	3	5	2	1
10	8	50	6	0	0.53389	1	1	2	2
11	8	50	6	7	0.56068	1	3	2	2
12	40	7	32	50	0.4932	4	3	2	1
13	20	7	26	50	0.63919	3	3	1	1
14	32	50	40	22	0.43637	4	4	1	2
15	8	50	6	7	0.60749	1	3	2	2
16	26	50	20	50	0.76853	3	5	2	1
17	20	22	26	50	0.50334	3	4	1	1
18	10	50	14	0	0.61035	2	1	1	2
19	10	50	14	50	0.49949	2	5	1	1
20	26	0	20	50	0.57457	3	1	2	1
21	8	2	6	50	0.51677	1	2	2	1
22	14	2	10	50	0.56349	2	2	2	1
23	32	50	40	50	0.66758	4	5	1	1
24	6	50	8	50	0.52221	1	5	1	2
25	8	7	6	50	0.5362	1	3	2	1
26	20	22	26	50	0.56755	3	4	1	1
27	32	2	40	50	0.47917	4	2	1	1
28	26	22	20	50	0.52687	3	4	2	1
29	10	50	14	0	0.53251	2	1	1	2
30	26	7	20	50	0.48017	3	3	2	1
31	26	50	20	2	0.55788	3	2	2	2
32	14	0	10	50	0.52785	2	1	2	1
33	10	50	14	2	0.45307	2	2	1	2
34	14	50	10	2	0.40183	2	2	2	2
35	26	22	20	50	0.54495	3	4	2	1
36	20	50	26	7	0.4758	3	3	1	2
37	40	0	32	50	0.68339	4	1	2	1
38	40	2	32	50	0.65906	4	2	2	1
39	6	50	8	7	0.51087	1	3	1	2
40	32	50	40	7	0.51728	4	3	1	2
41	8	7	6	50	0.27892	1	3	2	1
42	6	0	8	50	0.51091	1	1	1	1
43	40	0	32	50	0.50284	4	1	2	1
44	32	50	40	50	0.61204	4	5	1	1
45	6	50	8	0	0.53582	1	1	1	2
46	32	50	40	7	0.5259	4	3	1	2
47	8	50	6	22	0.51829	1	4	2	2
48	20	0	26	50	0.5254	3	1	1	1
